                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0837,                 2.6429,                 1.2231,                0.55282,                0.36709,                0.40742,                0.29802,                0.93989,                 2.4695,                 1.1188,             0.00041441,             0.00041441,             0.00041441
                      2,                 1.1551,                 1.9112,                 1.2804,                0.50058,                0.38939,                0.38934,                0.24567,                 1.1122,                 2.0466,                 1.2157,             0.00075964,             0.00075964,             0.00075964
                      3,                 1.1169,                 1.7479,                  1.253,                0.41067,                0.52681,                0.45742,                0.27412,                 1.2736,                 2.3517,                 1.3877,                0.00102,                0.00102,                0.00102
                      4,                 1.1641,                 1.6737,                 1.2839,                0.43885,                0.34083,                0.36106,                0.18469,                 1.4395,                 2.3151,                 1.5122,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.1778,                 1.6809,                 1.3034,                0.39683,                0.40665,                0.37533,                0.22002,                 1.3466,                 2.0652,                 1.5225,              0.0010046,              0.0010046,              0.0010046
                      6,                 1.1016,                 1.5333,                 1.2682,                0.41548,                0.53036,                0.50218,                0.31463,                 1.1306,                 1.8632,                 1.2977,             0.00086312,             0.00086312,             0.00086312
                      7,                 1.0607,                 1.4642,                 1.2256,                0.70336,                0.58637,                0.64585,                0.40799,                 1.1973,                 1.6304,                 1.4138,             0.00072164,             0.00072164,             0.00072164
                      8,                 1.0712,                 1.4177,                 1.2279,                0.70739,                0.53211,                 0.6445,                0.44902,                 1.0165,                 1.4421,                  1.238,             0.00058017,             0.00058017,             0.00058017
                      9,                 1.0082,                 1.2916,                 1.1764,                0.74602,                0.61305,                 0.6605,                 0.4527,                 1.0201,                  1.453,                 1.2223,              0.0004387,              0.0004387,              0.0004387
                     10,                0.97503,                 1.2001,                 1.1541,                0.76881,                0.60491,                0.71583,                0.52037,                0.95026,                 1.3713,                 1.1844,             0.00029723,             0.00029723,             0.00029723
