                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1004,                 2.6956,                   1.22,                0.56581,                0.35265,                0.46362,                0.32588,                0.95524,                  2.428,                 1.0787,             0.00041441,             0.00041441,             0.00041441
                      2,                 1.1787,                 1.9138,                 1.2512,                0.52097,                0.41789,                0.45487,                0.29579,                 1.1162,                  2.003,                 1.2468,             0.00075964,             0.00075964,             0.00075964
                      3,                 1.1751,                 1.7437,                 1.2594,                 0.6522,                0.51001,                0.57844,                0.39097,                  1.068,                  1.824,                 1.2032,                0.00102,                0.00102,                0.00102
                      4,                 1.2248,                 1.7093,                 1.2879,                 0.5686,                0.57859,                0.58118,                 0.3549,                 1.1601,                 1.8462,                 1.2661,              0.0010046,              0.0010046,              0.0010046
                      5,                  1.169,                 1.6295,                 1.2611,                0.51711,                0.54668,                0.52944,                0.35512,                 1.0497,                 2.0761,                 1.2248,              0.0010046,              0.0010046,              0.0010046
                      6,                 1.1455,                 1.5053,                 1.2631,                0.55744,                0.46078,                0.51321,                 0.3526,                 1.1021,                 1.6786,                 1.2764,             0.00086312,             0.00086312,             0.00086312
                      7,                 1.1492,                 1.4783,                 1.2175,                0.55962,                0.60491,                0.59803,                0.36765,                 1.1494,                 1.6804,                 1.2825,             0.00072164,             0.00072164,             0.00072164
                      8,                 1.1066,                 1.4444,                 1.1921,                0.68604,                0.55491,                 0.6543,                0.43509,                 1.0529,                 1.4535,                 1.1645,             0.00058017,             0.00058017,             0.00058017
                      9,                  1.056,                 1.3334,                 1.1868,                0.68605,                0.50226,                0.56793,                0.38727,                  1.034,                 1.6005,                  1.227,              0.0004387,              0.0004387,              0.0004387
                     10,                 1.0075,                 1.2448,                 1.1496,                  0.833,                0.56839,                0.71708,                0.51893,                0.94866,                 1.3022,                 1.1313,             0.00029723,             0.00029723,             0.00029723
